ECPRI version,ECPRI Data Format Ecpri Message,Ecpri Payload Length,ecpriPcid,ecpriSeqid,dataDirection,payloadVersion,filterIndex,frameId,SubframeId,SlotId,Symbolid,SectionsID,rb,StartPrb,NumOfPrb,Sampling ,ByteStart,ByteEnd,TimeStamp(s),TimeStamp(us/ns),PacketOffsetTo10ms(ns),PacketOffsetTo10ms(utu),N1,PacketAdvanceToAif(ns)
1,0,1300,128,55424,1,1,0,243,4,1,1,1,0,46,46,9,51853,53140,315965949,314281791,4281791,5261465,755,-254406.9
1,0,1300,128,55680,1,1,0,243,4,1,1,1,0,92,46,9,53195,54482,315965949,314282275,4282275,5262060,755,-253922.9
1,0,1272,128,55936,1,1,0,243,4,1,1,1,0,138,45,9,54537,55796,315965949,314282759,4282759,5262654,755,-253438.9
1,0,1272,128,56192,1,1,0,243,4,1,1,1,0,183,45,9,55851,57110,315965949,314283243,4283243,5263249,755,-252954.9
1,0,1272,128,56448,1,1,0,243,4,1,1,1,0,228,45,9,57165,58424,315965949,314283719,4283719,5263834,755,-252478.9
1,0,1300,0,56704,1,1,0,243,4,1,2,1,0,0,46,9,58479,59766,315965949,314314074,4314074,5301134,755,-257801
1,0,1300,0,56960,1,1,0,243,4,1,2,1,0,46,46,9,59821,61108,315965949,314314567,4314567,5301740,755,-257308
1,0,1300,0,57216,1,1,0,243,4,1,2,1,0,92,46,9,61163,62450,315965949,314315051,4315051,5302335,755,-256824
1,0,1272,0,57472,1,1,0,243,4,1,2,1,0,138,45,9,62505,63764,315965949,314315535,4315535,5302929,755,-256340
1,0,1272,0,57728,1,1,0,243,4,1,2,1,0,183,45,9,63819,65078,315965949,314316019,4316019,5303524,755,-255856
1,0,1272,0,57984,1,1,0,243,4,1,2,1,0,228,45,9,65133,66392,315965949,314316495,4316495,5304109,755,-255380
1,0,1300,128,56704,1,1,0,243,4,1,2,1,0,0,46,9,66447,67734,315965949,314316992,4316992,5304720,755,-254883
1,0,1300,128,56960,1,1,0,243,4,1,2,1,0,46,46,9,67789,69076,315965949,314317484,4317484,5305324,755,-254391
1,0,1300,128,57216,1,1,0,243,4,1,2,1,0,92,46,9,69131,70418,315965949,314317968,4317968,5305919,755,-253907
1,0,1272,128,57472,1,1,0,243,4,1,2,1,0,138,45,9,70473,71732,315965949,314318452,4318452,5306514,755,-253423
1,0,1272,128,57728,1,1,0,243,4,1,2,1,0,183,45,9,71787,73046,315965949,314318937,4318937,5307110,755,-252938
1,0,1272,128,57984,1,1,0,243,4,1,2,1,0,228,45,9,73101,74360,315965949,314319413,4319413,5307695,755,-252462
1,0,1300,0,58240,1,1,0,243,4,1,3,1,0,0,46,9,74415,75702,315965949,314349719,4349719,5344935,755,-257833.1
1,0,1300,0,58496,1,1,0,243,4,1,3,1,0,46,46,9,75757,77044,315965949,314350211,4350211,5345539,755,-257341.1
1,0,1300,0,58752,1,1,0,243,4,1,3,1,0,92,46,9,77099,78386,315965949,314350695,4350695,5346134,755,-256857.1
1,0,1272,0,59008,1,1,0,243,4,1,3,1,0,138,45,9,78441,79700,315965949,314351180,4351180,5346730,755,-256372.1
1,0,1272,0,59264,1,1,0,243,4,1,3,1,0,183,45,9,79755,81014,315965949,314351664,4351664,5347325,755,-255888.1
1,0,1272,0,59520,1,1,0,243,4,1,3,1,0,228,45,9,81069,82328,315965949,314352140,4352140,5347910,755,-255412.1
1,0,1300,128,58240,1,1,0,243,4,1,3,1,0,0,46,9,82383,83670,315965949,314352636,4352636,5348519,755,-254916.1
1,0,1300,128,58496,1,1,0,243,4,1,3,1,0,46,46,9,83725,85012,315965949,314353129,4353129,5349125,755,-254423.1
1,0,1300,128,58752,1,1,0,243,4,1,3,1,0,92,46,9,85067,86354,315965949,314353613,4353613,5349720,755,-253939.1
1,0,1272,128,59008,1,1,0,243,4,1,3,1,0,138,45,9,86409,87668,315965949,314354097,4354097,5350314,755,-253455.1
1,0,1272,128,59264,1,1,0,243,4,1,3,1,0,183,45,9,87723,88982,315965949,314354585,4354585,5350914,755,-252967.1
1,0,1272,128,59520,1,1,0,243,4,1,3,1,0,228,45,9,89037,90296,315965949,314355061,4355061,5351499,755,-252491.1
